id,name,carbon/past,val,carbon/future,energy/past,energy/present,energy/future,intensity/past,intensity/present,intensity/future,location/continent/id,location/continent/value,location/country/id,location/country/value,lat,lon,location/state/id,location/state/value,location/zip,location/city/id,location/city/value,location/metroarea/id,location/metroarea/value,location/county/id,location/county/value,location/congdist/id,location/congdist/value
20330,JIEH,725580,1314500,1314500,882550,1158200,1158200,822,1130,1130,6255147,Asia,272103,Lebanon,33.6672222,35.4272222,273607,Mohafazat Mont-Liban,,,,,,,,,
20928,KALININGRAD MILL,839370,1314700,1314700,647500,1001600,1001600,1300,1310,1310,6255148,Europe,2017370,Russia,54.706493,20.510951,554230,Kaliningradskaya Oblast�۪,,554234,Kaliningrad,,,,,,
19352,INDRAPRASTHA,1380300,1315500,1315500,1093200,1034400,1034400,1260,1270,1270,6255147,Asia,1269750,India,28.63576013,77.22444534,1273293,NCT,,1261481,New Delhi,,,,,,
29846,MUNCHEN SUD,1906900,1320000,1320000,3553600,3050500,3050500,537,433,433,6255148,Europe,2921044,Germany,48.11408903,11.55573169,2951839,Bavaria,80469,,,,,,,,
41886,SKAWINA,2314700,1320000,1320000,2131200,1255700,1255700,1090,1050,1050,6255148,Europe,798544,Poland,49.975669,19.801072,858786,Lesser Poland Voivodeship,32050,,,,,,,,
12686,ESBJERG,1570000,1320000,1320000,1923600,1413900,1413900,816,934,934,6255148,Europe,2623032,Denmark,55.45520109,8.458381765,6418542,South Denmark,6701,2622447,Esbjerg,,,,,,
51278,ZHENHAI REFINERY,2168800,1320700,1320700,1797200,1036700,1036700,1210,1270,1270,6255147,Asia,1814991,China,29.878186,121.549453,1784764,Zhejiang Sheng,31520,1799397,Ningbo,,,,,,
38789,SAKMARSKAYA,1169000,1321200,1321200,1473400,1557700,1557700,793,848,848,6255148,Europe,2017370,Russia,51.7727,55.0988,515001,Orenburgskaya Oblast�۪,46001,515003,Orenburg,,,,,,
1420,AMUR-1,1160900,1322200,1322200,910520,1029500,1029500,1280,1280,1280,6255148,Europe,2017370,Russia,50.226111,136.899444,2022888,Khabarovsk Krai,,,,,,,,,
15408,GOLDENBERG,0,1322200,1322200,0,1797600,1797600,0,736,736,6255148,Europe,2921044,Germany,50.8609593,6.843463159,2861876,North Rhine-Westphalia,50354,2897216,H�_rth,,,,,,
40730,SEVERSTAL WORKS,1160500,1324000,1324000,1773100,1933700,1933700,655,685,685,6255148,Europe,2017370,Russia,59.1333333,37.9,472454,Vologodskaya Oblast�۪,,569223,Cherepovets,,,,,,
16174,GUARACACHI,557080,1324200,1345800,963960,2189000,2424100,578,605,555,6255150,South America,3923057,Bolivia,-17.8,-63.1666667,3904907,Departamento de Santa Cruz,,3904906,Santa Cruz de la Sierra,,,,,,
9067,COLLINSVILLE,1141400,1324300,1324300,869070,1009600,1009600,1310,1310,1310,6255151,Oceania,2077456,Australia,-20.55,147.85,2152274,Queensland,4805,,,,,,,,
1685,ANTA,946060,1324500,2379200,1865100,2934000,4694700,507,451,507,6255147,Asia,1269750,India,25.1,76.5166667,1258899,Rajasthan,325 2,1277084,B��r��n,,,,,,
64928,JIAOZUO THERMAL,0,1325200,1325200,0,1040400,1040400,0,1270,1270,6255147,Asia,1814991,China,35.2397222,113.2330556,1808520,Henan Sheng,,1805987,Jiaozuo,,,,,,
8489,CHIVASSO,736910,1325800,1325800,1098700,4356200,4356200,671,304,304,6255148,Europe,3175395,Italy,45.183333,7.883333,3170831,Piedmont,,,,,,,,,
331,AES IRONWOOD LLC,434090,1327300,1327300,1022000,3070900,3070900,425,432,432,6255149,North America,6252001,United States,40.3509,-76.3658,6254927,Pennsylvania,17042,,,99999276,"Harrisburg-Carlisle-Lebanon, PA",5197522,Lebanon County,99994217,Tim Holden
51930,JIAOZUO ALUMINUM-2,0,1328200,1328200,0,1056400,1056400,0,1260,1260,6255147,Asia,1814991,China,35.2397222,113.2330556,1808520,Henan Sheng,,1805987,Jiaozuo,,,,,,
34785,PISTICCI,0,1329400,848600,0,2782100,1893900,0,478,448,6255148,Europe,3175395,Italy,40.390617,16.556787,3182306,Basilicate,,,,,,,,,
48420,VITRY,1016100,1330000,1330000,1345500,1765100,1765100,755,754,754,6255148,Europe,3017382,France,48.78,2.39,3012874,�_le-de-France,94400,2967849,Vitry-sur-Seine,,,,,,
3070,BALTI,2360000,1330000,2189000,2199100,1114200,1855700,1070,1190,1180,6255148,Europe,453733,Estonia,59.352966,28.12583,592075,Ida-Virumaa,,590031,Narva,,,,,,
37578,RIVERSIDE (4940),875320,1330300,1330300,1350600,1939900,1939900,648,686,686,6255149,North America,6252001,United States,35.9978,-95.9567,4544379,Oklahoma,74037,,,99999538,"Tulsa-Bartlesville, OK",4553440,Tulsa County,99994001,John Sullivan
7088,CARBON,1295800,1331600,1331600,1135100,1212200,1212200,1140,1100,1100,6255149,North America,6252001,United States,39.7272,-110.8644,5549030,Utah,84526,,,,,5536454,Carbon County,99994902,Jim Matheson
6322,BURLINGTON (1104),1360100,1332300,1332300,1191900,1204800,1204800,1140,1110,1110,6255149,North America,6252001,United States,40.7412,-91.1168,4862182,Iowa,52601,,,,,4853838,Des Moines County,99991902,Dave Loebsack
15439,GOMEL-2,1031400,1334900,1334900,1249700,1771200,1771200,825,754,754,6255148,Europe,630336,Belarus,52.438255,30.982274,628281,Homyel�۪skaya Voblasts�۪,,,,,,,,,
40959,SHEIKHUPURA,0,1335500,1335500,0,1775800,1775800,0,752,752,6255147,Asia,1168579,Pakistan,31.713056,73.978333,1167710,Punjab,,1165221,Sheikhupura,,,,,,
1469,ANCLOTE,3477500,1336600,1336600,4487900,1586200,1586200,775,843,843,6255149,North America,6252001,United States,28.1844,-82.7887,4155751,Florida,34691,,,,,4167895,Pasco County,99991209,Gus M. Bilirakis
31385,NIZHNEKAMSK-2,1666600,1337900,1337900,1938900,1636200,1636200,860,818,818,6255148,Europe,2017370,Russia,55.636571,51.824474,484048,Respublika Tatarstan,42355,521118,Nizhnekamsk,,,,,,
25861,LOS MEDANOS ENERGY CENTER,1440900,1338900,1338900,3690600,3358200,3358200,390,399,399,6255149,North America,6252001,United States,38.03,-121.8708,5332921,California,94565,5383465,Pittsburg,99999488,"San Jose-San Francisco-Oakland, CA",5339268,Contra Costa County,,
43720,SUNBURY GENERATION LP,2119100,1339100,1339100,1505100,1079100,1079100,1410,1240,1240,6255149,North America,6252001,United States,40.8361,-76.825,6254927,Pennsylvania,17876,,,99999526,"Sunbury-Lewisburg-Selinsgrove, PA",5212772,Snyder County,99994210,Tom Marino
31800,NOVO-STERLITAMAK,1187500,1340100,1340100,1440400,1633900,1633900,824,820,820,6255148,Europe,2017370,Russia,53.624619,55.950148,578853,Respublika Bashkortostan,,487495,Sterlitamak,,,,,,
39819,SARANSK-2,1080700,1340700,1340700,1410400,1644400,1644400,766,815,815,6255148,Europe,2017370,Russia,54.1838,45.1749,525369,Respublika Mordoviya,,498698,Saransk,,,,,,
