id,name,carbon/past,val,carbon/future,energy/past,energy/present,energy/future,intensity/past,intensity/present,intensity/future,location/continent/id,location/continent/value,location/country/id,location/country/value,lat,lon,location/state/id,location/state/value,location/zip,location/city/id,location/city/value,location/metroarea/id,location/metroarea/value,location/county/id,location/county/value,location/congdist/id,location/congdist/value

15101,GILAN,5320800,3019400,3019400,10508000,5919700,5919700,506,510,510,6255147,Asia,130758,Iran,37.280769,49.58319,133349,Ost��n-e G��l��n,,118743,Rasht,,,,,,
46077,TOYAMA SHINKO,913740,3023900,3377400,1217800,3583300,5019700,750,844,673,6255147,Asia,1861060,Japan,36.7726885,137.0715305,1849872,Toyama-ken,933-0,,,,,,,,
3942,BELLEDUNE,3090000,3030300,3030300,4138400,3292500,3292500,747,920,920,6255149,North America,6251999,Canada,47.9058,-65.867,6087430,New Brunswick,E8G 2,,,,,,,,
18846,HUNJIANG,0,3032200,3213900,0,2901500,3381400,0,1050,950,6255147,Asia,1814991,China,41.9430556,126.4286111,2036500,Jilin Sheng,,2038584,Baishan,,,,,,
41083,SHILIQUAN,8826700,3033400,3033400,7508400,2621800,2621800,1180,1160,1160,6255147,Asia,1814991,China,34.8647222,117.5541667,1796328,Shandong Sheng,27711,1785453,Zaozhuang,,,,,,
20490,JOJOBERA,2537700,3034100,3034100,2015000,2684000,2684000,1260,1130,1130,6255147,Asia,1269750,India,22.8,86.1833333,1444365,State of Jharkhand,831 0,1269300,Jamshedpur,,,,,,
6207,BULL RUN,4220100,3034300,3034300,4877100,3311300,3311300,865,916,916,6255149,North America,6252001,United States,36.0211,-84.1567,4662168,Tennessee,37716,,,99999314,"Knoxville-Sevierville-La Follette, TN",4602643,Anderson County,99994703,Chuck Fleischmann
41163,SHIN KOKURA,4069300,3037500,3037500,6854600,5091000,5091000,594,597,597,6255147,Asia,1861060,Japan,33.8333333,130.8333333,1863958,Fukuoka-ken,803-0,,,,,,,,
53186,XUZHOU HUAXIN,0,3039400,0,0,3127100,0,0,972,0,6255147,Asia,1814991,China,34.180454,117.15707,1806260,Jiangsu Sheng,,,,,,,,,
65733,DATANG BAOJI,0,3039400,3039400,0,3127100,3127100,0,972,972,6255147,Asia,1814991,China,39.176687,113.713426,1795912,Shanxi Sheng,72130,,,,,,,,
13582,FLINT CREEK,3805700,3042400,3042400,3587400,2828200,2828200,1060,1080,1080,6255149,North America,6252001,United States,36.2561,-94.5241,4099753,Arkansas,72734,,,,,4101244,Benton County,99990503,Steve Womack
39296,JOSE DE SAN MARTIN,0,3044000,3044000,0,5967700,5967700,0,510,510,6255150,South America,3865483,Argentina,-32.6672,-60.792978,3836276,Provincia de Santa Fe,,,,,,,,,
17844,HIRAKUD SMELTER,463170,3045000,3045000,367320,2410700,2410700,1260,1260,1260,6255147,Asia,1269750,India,21.45,83.9666667,1261029,State of Orissa,768 0,1257542,Sambalpur,,,,,,
38470,SABINE,3410200,3045800,3045800,5026200,4441800,4441800,678,686,686,6255149,North America,6252001,United States,30.0242,-93.875,4736286,Texas,77611,,,,,4716826,Orange County,99994808,Kevin Brady
24128,LAIBIN-B,4093800,3048000,3048000,4363800,2603500,2603500,938,1170,1170,6255147,Asia,1814991,China,23.7,109.2666667,1809867,Guangxi Zhuangzu Zizhiqu,,1804609,Laibin,,,,,,
32562,OMSK-5,2737100,3050300,3050300,2100900,2502700,2502700,1300,1220,1220,6255148,Europe,2017370,Russia,55,73.4,1496152,Omskaya Oblast�۪,,1496153,Omsk,,,,,,
20379,JINGYUAN-1,5489000,3054500,3054500,4350600,2586600,2586600,1260,1180,1180,6255147,Asia,1814991,China,36.5583333,104.2080556,1810676,Gansu Sheng,73091,1817240,Baiyin,,,,,,
41445,SHUWEIHAT-1,3877200,3057400,3057400,7657100,5994100,5994100,506,510,510,6255147,Asia,290557,United Arab Emirates,24.1651,52.642,292969,Abu Dhabi,,,,,,,,,
9594,COYOTE,3926400,3060400,3060400,3180000,2498600,2498600,1230,1220,1220,6255149,North America,6252001,United States,47.2217,-101.8139,5690763,North Dakota,58523,,,,,5690489,Mercer County,99993800,Rick Berg
62961,TANGSHAN CAOFEIDIAN,0,3060800,12659000,0,2901500,11885000,0,1050,1070,6255147,Asia,1814991,China,38.9333333,118.5333333,1808773,Hebei,,,,,,,,,
58817,HOHHOT GUONENG,0,3060800,3060800,0,2901500,2901500,0,1050,1050,6255147,Asia,1814991,China,40.8105556,111.6522222,2035607,Inner Mongolia,,2036892,Hohhot,,,,,,
65514,HUIZHOU COGEN,0,3060900,3060900,0,2901500,2901500,0,1050,1050,6255147,Asia,1814991,China,23.0833333,114.4,1809935,Guangdong Sheng,51608,1806776,Huizhou,,,,,,
45829,DONGHAE,3590000,3061000,11989000,2720900,3036800,10142000,1320,1010,1180,6255147,Asia,1835841,South Korea,37.497,129.1274,1843125,Gangwon,240-7,1892823,Tonghae,,,,,,
50365,XINLI,5440600,3071300,3071300,4314600,2561300,2561300,1260,1200,1200,6255147,Asia,1814991,China,34.7577778,113.6486111,1808520,Henan Sheng,45000,1784658,Zhengzhou,,,,,,
1132,ALTAMIRA-5,0,3075900,3075900,0,7464600,7464600,0,412,412,6255149,North America,3996063,Mexico,22.4,-97.9166667,3516391,Tamaulipas,,3533005,Altamira,,,,,,
31797,NOVOPOLOTSKAYA,637380,3082700,3082700,550270,2860500,2860500,1160,1080,1080,6255148,Europe,630336,Belarus,55.485923,28.775564,620134,Vitsyebskaya Voblasts�۪,,623317,Polatsk,,,,,,
20419,JISCO PLANT-1,1507000,3083600,5186100,1196300,2418500,4727000,1260,1280,1100,6255147,Asia,1814991,China,39.7666667,98.5666667,1810676,Gansu Sheng,,1279945,Suzhou,,,,,,
13983,H ALLEN FRANKLIN COMBINED CYCLE,1087600,3084800,3084800,2518900,7254300,7254300,432,425,425,6255149,North America,6252001,United States,32.6094,-85.0961,4829764,Alabama,36877,,,,,4072098,Lee County,99992608,Mike Rogers
24455,LANSING SMITH,3581800,3087700,3087700,4904100,5182900,5182900,730,596,596,6255149,North America,6252001,United States,30.2689,-85.7003,4155751,Florida,32409,,,,,4146810,Bay County,99991202,Steve Southerland
61035,RENGALI BHUSHAN,0,3090700,3499000,0,2447700,3020100,0,1260,1160,6255147,Asia,1269750,India,21.45,83.9666667,1261029,State of Orissa,,1257542,Sambalpur,,,,,,
16712,HAMITABAT,2331200,3098800,3098800,5063300,6447600,6447600,460,481,481,6255147,Asia,298795,Turkey,41.403848,27.359181,743165,K��rklareli,39750,,,,,,,,
18599,HSINKANG SK,3044200,3100400,3100400,2396700,2418000,2418000,1270,1280,1280,6255147,Asia,1668284,Taiwan,23.1225,120.204167,7280291,Taiwan,,,,,,,,,
33603,PANZHIHUA,1929900,3103800,733840,1602000,2482600,1089700,1200,1250,673,6255147,Asia,1814991,China,26.547902,101.705386,1794299,Sichuan Sheng,,1798998,Dadukou,,,,,,
3841,BEIJING-1,1616400,3105700,3105700,1255000,2505700,2505700,1290,1240,1240,6255147,Asia,1814991,China,39.90749774,116.3972282,2038349,Beijing Shi,10007,1816670,Beijing,,,,,,
35741,PRESQUE ISLE,3636400,3112500,0,3256800,2621100,0,1120,1190,0,6255149,North America,6252001,United States,46.5789,-87.395,5001836,Michigan,49855,,,,,5000950,Marquette County,99992601,Dan Benishek
51270,YOSU,3263000,3117600,3784800,2585300,2761400,3189800,1260,1130,1190,6255147,Asia,1835841,South Korea,34.744167,127.737778,1845788,South Jeolla,,1832157,Reisui,,,,,,
9626,ISALNITA,2165600,3120000,3776300,1719100,2527300,2770200,1260,1230,1360,6255148,Europe,798549,Romania,44.38568,23.71718,679134,Jude��ul Dolj,,,,,,,,,
29064,MONEYPOINT,5550000,3120000,3120000,5882700,3284800,3284800,943,950,950,6255148,Europe,2963597,Ireland,52.6075,-9.42267,7521315,Munster,,,,,,,,,
15372,GOI,3526100,3125100,3125100,5874700,5400600,5400600,600,579,579,6255147,Asia,1861060,Japan,35.5166667,140.0833333,2113014,Chiba-ken,290-0,2112664,Ichihara,,,,,,
1265,AMAGER,1540000,3126400,3126400,1536900,3671900,3671900,1000,851,851,6255148,Europe,2623032,Denmark,55.68459188,12.62610255,6418538,Capital Region,,2618425,Copenhagen,,,,,,
16351,GURU NANAK DEV,2996900,3131700,3131700,2375600,2414000,2414000,1260,1300,1300,6255147,Asia,1269750,India,30.2,74.95,1259223,State of Punjab,151 0,1276070,Bhatinda,,,,,,
58126,CAOFEIDIAN WORKS,0,3134800,3134800,0,2968200,2968200,0,1060,1060,6255147,Asia,1814991,China,39.6333333,118.1833333,1808773,Hebei,,1793346,Tangshan,,,,,,
46682,TUSIMICE,5000000,3140000,3140000,3910700,2495500,2495500,1280,1260,1260,6255148,Europe,3077311,Czech Republic,50.3825,13.33805556,,,43201,,,,,,,99997298,
10203,DAQING,5874700,3143100,3143100,4657400,2674600,2674600,1260,1180,1180,6255147,Asia,1814991,China,46.5833333,125,2036965,Heilongjiang Sheng,,2037860,Daqing,,,,,,
41464,SIBLEY,3135000,3148300,3148300,2905800,2899000,2899000,1080,1090,1090,6255149,North America,6252001,United States,39.1778,-94.1861,4398678,Missouri,64088,,,99999312,"Kansas City-Overland Park-Kansas City, MO-KS",4392183,Jackson County,99992906,Sam Graves
47630,VALLE DE MEXICO,3314200,3151600,5799500,6659500,6691800,12516000,498,471,463,6255149,North America,3996063,Mexico,19.6011111,-99.0525,3523272,Estado de M̩xico,54150,,,,,,,,
38777,SAKAIKO,3820300,3155900,3155900,6439000,5292100,5292100,593,596,596,6255147,Asia,1861060,Japan,34.5833333,135.4666667,1853904,��saka-fu,592-8,1853195,Sakai,,,,,,
